model	topic_key	topic_label	ctrl3_n	ctrl3_den	g3_n	g3_den	combined_n	combined_den
devstral-2512	reduce_war_violence	Reduce war / violence / armed conflict	0	10	10	30	10	40
devstral-2512	poverty_material_need	Reduce poverty / material deprivation	7	10	10	30	17	40
devstral-2512	reduce_suffering	Reduce suffering / pain	3	10	2	30	5	40
devstral-2512	education_critical_thinking	Education / critical thinking	10	10	7	30	17	40
devstral-2512	institutions_governance	Better institutions / governance	1	10	3	30	4	40
devstral-2512	climate_environment	Climate / environment	5	10	16	30	21	40
devstral-2512	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
devstral-2512	health_disease	Health / disease	10	10	2	30	12	40
devstral-2512	inequality_justice	Inequality / justice / rights	10	10	12	30	22	40
devstral-2512	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	0	10	11	30	11	40
devstral-2512	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	0	30	0	40
devstral-2512	felt_interconnection	Felt interconnection / less separateness	0	10	5	30	5	40
devstral-2512	dehumanization_distance	Dehumanization / distance reduction	0	10	4	30	4	40
devstral-2512	basic_needs_material_floor	Basic needs / material floor	10	10	2	30	12	40
fable-5	better_disagreement	Better disagreement / less polarization	9	10	17	30	26	40
fable-5	truth_seeking	Better truth-seeking / changing minds	1	10	11	30	12	40
fable-5	empathy_compassion	Greater empathy / compassion	8	10	9	30	17	40
fable-5	reduce_war_violence	Reduce war / violence / armed conflict	1	10	10	30	11	40
fable-5	poverty_material_need	Reduce poverty / material deprivation	9	10	17	30	26	40
fable-5	reduce_suffering	Reduce suffering / pain	1	10	5	30	6	40
fable-5	education_critical_thinking	Education / critical thinking	2	10	2	30	4	40
fable-5	institutions_governance	Better institutions / governance	10	10	18	30	28	40
fable-5	climate_environment	Climate / environment	8	10	3	30	11	40
fable-5	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
fable-5	health_disease	Health / disease	8	10	19	30	27	40
fable-5	inequality_justice	Inequality / justice / rights	0	10	1	30	1	40
fable-5	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	4	10	3	30	7	40
fable-5	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	3	10	23	30	26	40
fable-5	felt_interconnection	Felt interconnection / less separateness	1	10	1	30	2	40
fable-5	dehumanization_distance	Dehumanization / distance reduction	5	10	15	30	20	40
fable-5	basic_needs_material_floor	Basic needs / material floor	1	10	0	30	1	40
gemini-2-0-flash	better_disagreement	Better disagreement / less polarization	10	10	9	30	19	40
gemini-2-0-flash	truth_seeking	Better truth-seeking / changing minds	4	10	11	30	15	40
gemini-2-0-flash	empathy_compassion	Greater empathy / compassion	10	10	24	30	34	40
gemini-2-0-flash	reduce_war_violence	Reduce war / violence / armed conflict	4	10	1	30	5	40
gemini-2-0-flash	poverty_material_need	Reduce poverty / material deprivation	6	10	3	30	9	40
gemini-2-0-flash	reduce_suffering	Reduce suffering / pain	0	10	0	30	0	40
gemini-2-0-flash	education_critical_thinking	Education / critical thinking	6	10	3	30	9	40
gemini-2-0-flash	institutions_governance	Better institutions / governance	0	10	0	30	0	40
gemini-2-0-flash	climate_environment	Climate / environment	9	10	9	30	18	40
gemini-2-0-flash	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
gemini-2-0-flash	health_disease	Health / disease	2	10	1	30	3	40
gemini-2-0-flash	inequality_justice	Inequality / justice / rights	10	10	8	30	18	40
gemini-2-0-flash	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	4	10	2	30	6	40
gemini-2-0-flash	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	0	30	0	40
gemini-2-0-flash	felt_interconnection	Felt interconnection / less separateness	3	10	2	30	5	40
gemini-2-0-flash	dehumanization_distance	Dehumanization / distance reduction	0	10	0	30	0	40
gemini-2-0-flash	basic_needs_material_floor	Basic needs / material floor	0	10	0	30	0	40
gemini-2-0-flash-lite	better_disagreement	Better disagreement / less polarization	10	10	11	30	21	40
gemini-2-0-flash-lite	truth_seeking	Better truth-seeking / changing minds	5	10	4	30	9	40
gemini-2-0-flash-lite	empathy_compassion	Greater empathy / compassion	10	10	22	30	32	40
gemini-2-0-flash-lite	reduce_war_violence	Reduce war / violence / armed conflict	5	10	11	30	16	40
gemini-2-0-flash-lite	poverty_material_need	Reduce poverty / material deprivation	7	10	12	30	19	40
gemini-2-0-flash-lite	reduce_suffering	Reduce suffering / pain	0	10	22	30	22	40
gemini-2-0-flash-lite	education_critical_thinking	Education / critical thinking	4	10	3	30	7	40
gemini-2-0-flash-lite	institutions_governance	Better institutions / governance	3	10	1	30	4	40
gemini-2-0-flash-lite	climate_environment	Climate / environment	10	10	7	30	17	40
gemini-2-0-flash-lite	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
gemini-2-0-flash-lite	health_disease	Health / disease	8	10	8	30	16	40
gemini-2-0-flash-lite	inequality_justice	Inequality / justice / rights	8	10	18	30	26	40
gemini-2-0-flash-lite	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	4	10	2	30	6	40
gemini-2-0-flash-lite	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	0	30	0	40
gemini-2-0-flash-lite	felt_interconnection	Felt interconnection / less separateness	4	10	1	30	5	40
gemini-2-0-flash-lite	dehumanization_distance	Dehumanization / distance reduction	2	10	0	30	2	40
gemini-2-0-flash-lite	basic_needs_material_floor	Basic needs / material floor	2	10	2	30	4	40
gemini-2-5-flash	better_disagreement	Better disagreement / less polarization	10	10	20	30	30	40
gemini-2-5-flash	truth_seeking	Better truth-seeking / changing minds	8	10	14	30	22	40
gemini-2-5-flash	empathy_compassion	Greater empathy / compassion	10	10	23	30	33	40
gemini-2-5-flash	reduce_war_violence	Reduce war / violence / armed conflict	7	10	9	30	16	40
gemini-2-5-flash	poverty_material_need	Reduce poverty / material deprivation	9	10	13	30	22	40
gemini-2-5-flash	reduce_suffering	Reduce suffering / pain	1	10	2	30	3	40
gemini-2-5-flash	education_critical_thinking	Education / critical thinking	9	10	8	30	17	40
gemini-2-5-flash	institutions_governance	Better institutions / governance	6	10	7	30	13	40
gemini-2-5-flash	climate_environment	Climate / environment	10	10	26	30	36	40
gemini-2-5-flash	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
gemini-2-5-flash	health_disease	Health / disease	4	10	6	30	10	40
gemini-2-5-flash	inequality_justice	Inequality / justice / rights	10	10	20	30	30	40
gemini-2-5-flash	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	8	10	12	30	20	40
gemini-2-5-flash	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	1	10	1	30	2	40
gemini-2-5-flash	felt_interconnection	Felt interconnection / less separateness	0	10	16	30	16	40
gemini-2-5-flash	dehumanization_distance	Dehumanization / distance reduction	0	10	0	30	0	40
gemini-2-5-flash	basic_needs_material_floor	Basic needs / material floor	0	10	0	30	0	40
gemini-2-5-flash-lite	better_disagreement	Better disagreement / less polarization	9	10	24	30	33	40
gemini-2-5-flash-lite	truth_seeking	Better truth-seeking / changing minds	1	10	11	30	12	40
gemini-2-5-flash-lite	empathy_compassion	Greater empathy / compassion	10	10	26	30	36	40
gemini-2-5-flash-lite	reduce_war_violence	Reduce war / violence / armed conflict	8	10	7	30	15	40
gemini-2-5-flash-lite	poverty_material_need	Reduce poverty / material deprivation	8	10	6	30	14	40
gemini-2-5-flash-lite	reduce_suffering	Reduce suffering / pain	0	10	3	30	3	40
gemini-2-5-flash-lite	education_critical_thinking	Education / critical thinking	0	10	6	30	6	40
gemini-2-5-flash-lite	institutions_governance	Better institutions / governance	1	10	1	30	2	40
gemini-2-5-flash-lite	climate_environment	Climate / environment	10	10	18	30	28	40
gemini-2-5-flash-lite	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
gemini-2-5-flash-lite	health_disease	Health / disease	8	10	4	30	12	40
gemini-2-5-flash-lite	inequality_justice	Inequality / justice / rights	9	10	12	30	21	40
gemini-2-5-flash-lite	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	0	10	3	30	3	40
gemini-2-5-flash-lite	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	0	30	0	40
gemini-2-5-flash-lite	felt_interconnection	Felt interconnection / less separateness	6	10	24	30	30	40
gemini-2-5-flash-lite	dehumanization_distance	Dehumanization / distance reduction	0	10	3	30	3	40
gemini-2-5-flash-lite	basic_needs_material_floor	Basic needs / material floor	0	10	0	30	0	40
gemini-2-5-pro	better_disagreement	Better disagreement / less polarization	10	10	23	30	33	40
gemini-2-5-pro	truth_seeking	Better truth-seeking / changing minds	8	10	19	30	27	40
gemini-2-5-pro	empathy_compassion	Greater empathy / compassion	10	10	19	30	29	40
gemini-2-5-pro	reduce_war_violence	Reduce war / violence / armed conflict	9	10	21	30	30	40
gemini-2-5-pro	poverty_material_need	Reduce poverty / material deprivation	10	10	21	30	31	40
gemini-2-5-pro	reduce_suffering	Reduce suffering / pain	0	10	1	30	1	40
gemini-2-5-pro	education_critical_thinking	Education / critical thinking	4	10	7	30	11	40
gemini-2-5-pro	institutions_governance	Better institutions / governance	10	10	22	30	32	40
gemini-2-5-pro	climate_environment	Climate / environment	10	10	8	30	18	40
gemini-2-5-pro	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
gemini-2-5-pro	health_disease	Health / disease	6	10	16	30	22	40
gemini-2-5-pro	inequality_justice	Inequality / justice / rights	9	10	5	30	14	40
gemini-2-5-pro	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	2	10	2	30	4	40
gemini-2-5-pro	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	5	30	5	40
gemini-2-5-pro	felt_interconnection	Felt interconnection / less separateness	1	10	20	30	21	40
gemini-2-5-pro	dehumanization_distance	Dehumanization / distance reduction	7	10	20	30	27	40
gemini-2-5-pro	basic_needs_material_floor	Basic needs / material floor	6	10	2	30	8	40
gemini-3-1-flash-lite	better_disagreement	Better disagreement / less polarization	10	10	27	30	37	40
gemini-3-1-flash-lite	truth_seeking	Better truth-seeking / changing minds	4	10	22	30	26	40
gemini-3-1-flash-lite	empathy_compassion	Greater empathy / compassion	10	10	23	30	33	40
gemini-3-1-flash-lite	reduce_war_violence	Reduce war / violence / armed conflict	8	10	15	30	23	40
gemini-3-1-flash-lite	poverty_material_need	Reduce poverty / material deprivation	9	10	12	30	21	40
gemini-3-1-flash-lite	reduce_suffering	Reduce suffering / pain	0	10	3	30	3	40
gemini-3-1-flash-lite	education_critical_thinking	Education / critical thinking	1	10	3	30	4	40
gemini-3-1-flash-lite	institutions_governance	Better institutions / governance	10	10	14	30	24	40
gemini-3-1-flash-lite	climate_environment	Climate / environment	10	10	18	30	28	40
gemini-3-1-flash-lite	technology_ai_safety	Technology / AI safety	0	10	5	30	5	40
gemini-3-1-flash-lite	health_disease	Health / disease	5	10	8	30	13	40
gemini-3-1-flash-lite	inequality_justice	Inequality / justice / rights	8	10	14	30	22	40
gemini-3-1-flash-lite	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	4	10	18	30	22	40
gemini-3-1-flash-lite	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	1	30	1	40
gemini-3-1-flash-lite	felt_interconnection	Felt interconnection / less separateness	6	10	17	30	23	40
gemini-3-1-flash-lite	dehumanization_distance	Dehumanization / distance reduction	7	10	11	30	18	40
gemini-3-1-flash-lite	basic_needs_material_floor	Basic needs / material floor	0	10	1	30	1	40
gemini-3-1-pro	better_disagreement	Better disagreement / less polarization	10	10	15	30	25	40
gemini-3-1-pro	truth_seeking	Better truth-seeking / changing minds	1	10	22	30	23	40
gemini-3-1-pro	empathy_compassion	Greater empathy / compassion	10	10	27	30	37	40
gemini-3-1-pro	reduce_war_violence	Reduce war / violence / armed conflict	10	10	24	30	34	40
gemini-3-1-pro	poverty_material_need	Reduce poverty / material deprivation	9	10	8	30	17	40
gemini-3-1-pro	reduce_suffering	Reduce suffering / pain	0	10	1	30	1	40
gemini-3-1-pro	education_critical_thinking	Education / critical thinking	0	10	0	30	0	40
gemini-3-1-pro	institutions_governance	Better institutions / governance	1	10	15	30	16	40
gemini-3-1-pro	climate_environment	Climate / environment	10	10	8	30	18	40
gemini-3-1-pro	technology_ai_safety	Technology / AI safety	0	10	1	30	1	40
gemini-3-1-pro	health_disease	Health / disease	5	10	2	30	7	40
gemini-3-1-pro	inequality_justice	Inequality / justice / rights	10	10	8	30	18	40
gemini-3-1-pro	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	2	10	14	30	16	40
gemini-3-1-pro	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	2	30	2	40
gemini-3-1-pro	felt_interconnection	Felt interconnection / less separateness	8	10	20	30	28	40
gemini-3-1-pro	dehumanization_distance	Dehumanization / distance reduction	4	10	15	30	19	40
gemini-3-1-pro	basic_needs_material_floor	Basic needs / material floor	2	10	2	30	4	40
gemini-3-5-flash	better_disagreement	Better disagreement / less polarization	10	10	23	30	33	40
gemini-3-5-flash	truth_seeking	Better truth-seeking / changing minds	6	10	24	30	30	40
gemini-3-5-flash	empathy_compassion	Greater empathy / compassion	10	10	28	30	38	40
gemini-3-5-flash	reduce_war_violence	Reduce war / violence / armed conflict	10	10	24	30	34	40
gemini-3-5-flash	poverty_material_need	Reduce poverty / material deprivation	9	10	15	30	24	40
gemini-3-5-flash	reduce_suffering	Reduce suffering / pain	0	10	2	30	2	40
gemini-3-5-flash	education_critical_thinking	Education / critical thinking	4	10	2	30	6	40
gemini-3-5-flash	institutions_governance	Better institutions / governance	6	10	18	30	24	40
gemini-3-5-flash	climate_environment	Climate / environment	10	10	10	30	20	40
gemini-3-5-flash	technology_ai_safety	Technology / AI safety	0	10	8	30	8	40
gemini-3-5-flash	health_disease	Health / disease	8	10	9	30	17	40
gemini-3-5-flash	inequality_justice	Inequality / justice / rights	10	10	13	30	23	40
gemini-3-5-flash	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	5	10	13	30	18	40
gemini-3-5-flash	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	1	30	1	40
gemini-3-5-flash	felt_interconnection	Felt interconnection / less separateness	1	10	11	30	12	40
gemini-3-5-flash	dehumanization_distance	Dehumanization / distance reduction	7	10	16	30	23	40
gemini-3-5-flash	basic_needs_material_floor	Basic needs / material floor	8	10	1	30	9	40
gemini-3-flash-preview	better_disagreement	Better disagreement / less polarization	10	10	21	30	31	40
gemini-3-flash-preview	truth_seeking	Better truth-seeking / changing minds	4	10	16	30	20	40
gemini-3-flash-preview	empathy_compassion	Greater empathy / compassion	10	10	28	30	38	40
gemini-3-flash-preview	reduce_war_violence	Reduce war / violence / armed conflict	9	10	28	30	37	40
gemini-3-flash-preview	poverty_material_need	Reduce poverty / material deprivation	10	10	19	30	29	40
gemini-3-flash-preview	reduce_suffering	Reduce suffering / pain	0	10	0	30	0	40
gemini-3-flash-preview	education_critical_thinking	Education / critical thinking	1	10	1	30	2	40
gemini-3-flash-preview	institutions_governance	Better institutions / governance	7	10	7	30	14	40
gemini-3-flash-preview	climate_environment	Climate / environment	10	10	15	30	25	40
gemini-3-flash-preview	technology_ai_safety	Technology / AI safety	0	10	2	30	2	40
gemini-3-flash-preview	health_disease	Health / disease	9	10	4	30	13	40
gemini-3-flash-preview	inequality_justice	Inequality / justice / rights	8	10	18	30	26	40
gemini-3-flash-preview	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	4	10	8	30	12	40
gemini-3-flash-preview	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	0	30	0	40
gemini-3-flash-preview	felt_interconnection	Felt interconnection / less separateness	2	10	14	30	16	40
gemini-3-flash-preview	dehumanization_distance	Dehumanization / distance reduction	3	10	16	30	19	40
gemini-3-flash-preview	basic_needs_material_floor	Basic needs / material floor	3	10	1	30	4	40
gemma-4-26b-a4b	better_disagreement	Better disagreement / less polarization	10	10	29	30	39	40
gemma-4-26b-a4b	truth_seeking	Better truth-seeking / changing minds	6	10	29	30	35	40
gemma-4-26b-a4b	empathy_compassion	Greater empathy / compassion	10	10	30	30	40	40
gemma-4-26b-a4b	reduce_war_violence	Reduce war / violence / armed conflict	10	10	21	30	31	40
gemma-4-26b-a4b	poverty_material_need	Reduce poverty / material deprivation	10	10	24	30	34	40
gemma-4-26b-a4b	reduce_suffering	Reduce suffering / pain	2	10	8	30	10	40
gemma-4-26b-a4b	education_critical_thinking	Education / critical thinking	9	10	3	30	12	40
gemma-4-26b-a4b	institutions_governance	Better institutions / governance	9	10	12	30	21	40
gemma-4-26b-a4b	climate_environment	Climate / environment	10	10	6	30	16	40
gemma-4-26b-a4b	technology_ai_safety	Technology / AI safety	3	10	3	30	6	40
gemma-4-26b-a4b	health_disease	Health / disease	8	10	1	30	9	40
gemma-4-26b-a4b	inequality_justice	Inequality / justice / rights	10	10	11	30	21	40
gemma-4-26b-a4b	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	7	10	18	30	25	40
gemma-4-26b-a4b	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	2	30	2	40
gemma-4-26b-a4b	felt_interconnection	Felt interconnection / less separateness	4	10	14	30	18	40
gemma-4-26b-a4b	dehumanization_distance	Dehumanization / distance reduction	7	10	21	30	28	40
gemma-4-26b-a4b	basic_needs_material_floor	Basic needs / material floor	5	10	1	30	6	40
gemma-4-31b	better_disagreement	Better disagreement / less polarization	10	10	28	30	38	40
gemma-4-31b	truth_seeking	Better truth-seeking / changing minds	8	10	23	30	31	40
gemma-4-31b	empathy_compassion	Greater empathy / compassion	10	10	29	30	39	40
gemma-4-31b	reduce_war_violence	Reduce war / violence / armed conflict	10	10	20	30	30	40
gemma-4-31b	poverty_material_need	Reduce poverty / material deprivation	10	10	22	30	32	40
gemma-4-31b	reduce_suffering	Reduce suffering / pain	1	10	5	30	6	40
gemma-4-31b	education_critical_thinking	Education / critical thinking	9	10	5	30	14	40
gemma-4-31b	institutions_governance	Better institutions / governance	7	10	3	30	10	40
gemma-4-31b	climate_environment	Climate / environment	10	10	10	30	20	40
gemma-4-31b	technology_ai_safety	Technology / AI safety	2	10	7	30	9	40
gemma-4-31b	health_disease	Health / disease	8	10	5	30	13	40
gemma-4-31b	inequality_justice	Inequality / justice / rights	10	10	4	30	14	40
gemma-4-31b	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	3	10	11	30	14	40
gemma-4-31b	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	1	30	1	40
gemma-4-31b	felt_interconnection	Felt interconnection / less separateness	4	10	9	30	13	40
gemma-4-31b	dehumanization_distance	Dehumanization / distance reduction	5	10	20	30	25	40
gemma-4-31b	basic_needs_material_floor	Basic needs / material floor	7	10	0	30	7	40
glm-4-5	better_disagreement	Better disagreement / less polarization	20	20	44	60	64	80
glm-4-5	truth_seeking	Better truth-seeking / changing minds	9	20	44	60	53	80
glm-4-5	empathy_compassion	Greater empathy / compassion	18	20	57	60	75	80
glm-4-5	reduce_war_violence	Reduce war / violence / armed conflict	19	20	51	60	70	80
glm-4-5	poverty_material_need	Reduce poverty / material deprivation	18	20	38	60	56	80
glm-4-5	reduce_suffering	Reduce suffering / pain	0	20	5	60	5	80
glm-4-5	education_critical_thinking	Education / critical thinking	19	20	8	60	27	80
glm-4-5	institutions_governance	Better institutions / governance	19	20	22	60	41	80
glm-4-5	climate_environment	Climate / environment	20	20	43	60	63	80
glm-4-5	technology_ai_safety	Technology / AI safety	0	20	2	60	2	80
glm-4-5	health_disease	Health / disease	19	20	12	60	31	80
glm-4-5	inequality_justice	Inequality / justice / rights	20	20	49	60	69	80
glm-4-5	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	7	20	33	60	40	80
glm-4-5	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	20	6	60	6	80
glm-4-5	felt_interconnection	Felt interconnection / less separateness	15	20	44	60	59	80
glm-4-5	dehumanization_distance	Dehumanization / distance reduction	11	20	38	60	49	80
glm-4-5	basic_needs_material_floor	Basic needs / material floor	8	20	9	60	17	80
glm-4-6	better_disagreement	Better disagreement / less polarization	58	60	114	180	172	240
glm-4-6	truth_seeking	Better truth-seeking / changing minds	30	60	102	180	132	240
glm-4-6	empathy_compassion	Greater empathy / compassion	60	60	134	180	194	240
glm-4-6	reduce_war_violence	Reduce war / violence / armed conflict	54	60	120	180	174	240
glm-4-6	poverty_material_need	Reduce poverty / material deprivation	58	60	78	180	136	240
glm-4-6	reduce_suffering	Reduce suffering / pain	1	60	3	180	4	240
glm-4-6	education_critical_thinking	Education / critical thinking	15	60	18	180	33	240
glm-4-6	institutions_governance	Better institutions / governance	36	60	60	180	96	240
glm-4-6	climate_environment	Climate / environment	56	60	60	180	116	240
glm-4-6	technology_ai_safety	Technology / AI safety	1	60	10	180	11	240
glm-4-6	health_disease	Health / disease	34	60	36	180	70	240
glm-4-6	inequality_justice	Inequality / justice / rights	57	60	73	180	130	240
glm-4-6	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	10	60	44	180	54	240
glm-4-6	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	60	9	180	9	240
glm-4-6	felt_interconnection	Felt interconnection / less separateness	30	60	85	180	115	240
glm-4-6	dehumanization_distance	Dehumanization / distance reduction	42	60	108	180	150	240
glm-4-6	basic_needs_material_floor	Basic needs / material floor	14	60	15	180	29	240
glm-4-6-coding	better_disagreement	Better disagreement / less polarization	9	10	16	30	25	40
glm-4-6-coding	truth_seeking	Better truth-seeking / changing minds	2	10	14	30	16	40
glm-4-6-coding	empathy_compassion	Greater empathy / compassion	10	10	22	30	32	40
glm-4-6-coding	reduce_war_violence	Reduce war / violence / armed conflict	7	10	18	30	25	40
